Date,Close,Open,High,Low,Change,Change%,T.Shares,Volume,No. Trades
2010-01-05,0,4.6,4.6,4.6,0,0.00%,,161000,
2010-01-07,0,4.6,4.6,4.6,0,0.00%,,130051,
2010-01-13,0,4.5,4.57,4.5,0,0.00%,,1213094,
2010-01-14,0,4.6,4.6,4.6,0,0.00%,,28442,
2010-01-17,0,4.6,4.6,4.6,0,0.00%,,233882,
2010-01-20,0,4.6,4.6,4.6,0,0.00%,,167435,
2010-01-24,0,4.7,4.7,4.7,0,0.00%,,155015,
2010-01-26,0,4.4,4.4,4.4,0,0.00%,,731738,
2010-01-27,0,4.4,4.4,4.4,0,0.00%,,54045,
2010-02-03,0,4.45,4.45,4.45,0,0.00%,,89000,
2010-02-04,0,4.5,4.5,4.45,0,0.00%,,3140000,
2010-02-16,0,4.45,4.45,4.45,0,0.00%,,503874,
2010-02-17,0,4.5,4.5,4.5,0,0.00%,,600003,
2010-02-18,0,4.5,4.5,4.5,0,0.00%,,704133,
2010-02-22,0,4.35,4.35,4.3,0,0.00%,,1065605,
2010-02-28,0,4.9,4.9,4.9,0,0.00%,,490000,
2010-03-03,0,4.75,4.75,4.75,0,0.00%,,475000,
2010-03-14,0,4.75,4.75,4.75,0,0.00%,,475000,
2010-03-15,0,4.85,4.85,4.85,0,0.00%,,727500,
2010-03-16,0,4.61,4.75,4.61,0,0.00%,,506907,
2010-03-18,0,4.75,4.75,4.75,0,0.00%,,190000,
2010-03-31,0,4.75,4.75,4.75,0,0.00%,,475000,
2010-04-04,0,4.4,4.4,4.4,0,0.00%,,423218,
2010-04-05,0,4.4,4.5,4.4,0,0.00%,,145353,
2010-04-12,0,4.35,4.35,4.26,0,0.00%,,1689898,
2010-04-13,0,4.1,4.1,4.1,0,0.00%,,410000,
2010-04-15,0,4,4,4,0,0.00%,,1610440,
2010-04-18,0,3.5,4,3.5,0,0.00%,,1012694,
2010-04-19,0,4,4,4,0,0.00%,,65332,
2010-04-20,0,4,4,4,0,0.00%,,589560,
2010-04-22,0,4,4,4,0,0.00%,,3369752,
2010-04-25,0,4.01,4.01,4.01,0,0.00%,,14544,
2010-04-27,0,4.01,4.01,4.01,0,0.00%,,37425,
2010-04-28,0,4.19,4.19,4.19,0,0.00%,,14942,
2010-05-13,0,4.15,4.15,4.15,0,0.00%,,415000,
2010-05-17,0,4.1,4.1,4.1,0,0.00%,,596976,
2010-05-23,0,4.1,4.1,4.1,0,0.00%,,1093987,
2010-05-25,0,4.12,4.12,4.12,0,0.00%,,1648000,
2010-05-26,0,4.1,4.1,4.1,0,0.00%,,348500,
2010-05-27,0,4.1,4.1,4.1,0,0.00%,,576858,
2010-06-01,0,4,4,4,0,0.00%,,1000000,
2010-06-02,0,4,4,4,0,0.00%,,600000,
2010-06-09,0,4.2,4.2,4.2,0,0.00%,,221894,
2010-06-10,0,4.2,4.24,4.2,0,0.00%,,2075482,
2010-06-14,0,4.25,4.26,4.25,0,0.00%,,4095551,
2010-07-15,0,4.5,4.68,4.5,0,0.00%,,4737000,
2010-07-19,0,4.5,4.5,4.5,0,0.00%,,1867500,
2010-07-20,0,4.4,4.4,4.4,0,0.00%,,1100000,
2010-07-22,0,4.4,4.42,4.4,0,0.00%,,8786200,
2010-07-25,0,4.41,4.41,4.4,0,0.00%,,800324,
2010-07-26,0,4.4,4.41,4.4,0,0.00%,,1829576,
2010-07-27,0,4.45,4.45,4.45,0,0.00%,,445000,
2010-07-28,0,4.45,4.45,4.45,0,0.00%,,445000,
2010-07-29,0,4.5,4.65,4.5,0,0.00%,,3731238,
2010-08-04,0,4.4,4.45,4.4,0,0.00%,,611615,
2010-08-05,0,4.45,4.45,4.45,0,0.00%,,255430,
