Date,Close,Open,High,Low,Change,Change%,T.Shares,Volume,No. Trades
2010-01-05,0,2.7,2.7,2.7,0,0.00%,,301101,1
2010-01-07,0,2.85,2.85,2.85,0,0.00%,,114000,1
2010-01-10,0,2.85,2.87,2.85,0,0.00%,,6984438,4
2010-01-13,0,2.85,3.25,2.85,0,0.00%,,31949089,10
2010-01-14,0,3.05,3.05,3.05,0,0.00%,,610000,1
2010-01-17,0,3.05,3.05,3.02,0,0.00%,,1004286,7
2010-01-20,0,3,3,2.95,0,0.00%,,11900000,2
2010-01-21,0,3,3,3,0,0.00%,,1500000,1
2010-01-31,0,3,3,3,0,0.00%,,90000,1
2010-02-02,0,2.92,2.92,2.92,0,0.00%,,2920000,1
2010-02-09,0,2.92,2.92,2.92,0,0.00%,,25100,1
2010-02-10,0,2.9,2.9,2.9,0,0.00%,,1450000,2
2010-02-11,0,2.99,2.99,2.8,0,0.00%,,1718000,3
2010-02-15,0,2.82,2.83,2.82,0,0.00%,,3253000,4
2010-02-16,0,2.85,2.85,2.83,0,0.00%,,1550026,4
2010-02-21,0,2.7,2.7,2.7,0,0.00%,,4900,1
2010-02-23,0,2.8,2.8,2.8,0,0.00%,,1540000,3
2010-02-24,0,2.8,2.8,2.8,0,0.00%,,2975000,6
2010-02-25,0,2.8,2.85,2.8,0,0.00%,,4212500,4
2010-03-01,0,2.85,2.85,2.85,0,0.00%,,71250,1
2010-03-09,0,2.85,2.85,2.85,0,0.00%,,427500,1
2010-03-10,0,2.85,2.85,2.85,0,0.00%,,1425000,1
2010-03-11,0,2.9,2.9,2.9,0,0.00%,,870000,2
2010-03-17,0,2.77,2.77,2.65,0,0.00%,,1899232,3
2010-03-23,0,2.5,2.52,2.5,0,0.00%,,1384000,2
2010-03-24,0,2.6,2.6,2.6,0,0.00%,,2860000,2
2010-03-28,0,2.5,2.5,2.5,0,0.00%,,375000,1
2010-03-29,0,2.5,2.5,2.5,0,0.00%,,1957235,3
2010-03-30,0,2.6,2.6,2.6,0,0.00%,,520000,2
2010-03-31,0,2.6,2.6,2.6,0,0.00%,,4096243,4
2010-04-01,0,2.6,2.6,2.6,0,0.00%,,1040000,2
2010-04-04,0,2.51,2.51,2.51,0,0.00%,,149659,1
2010-04-05,0,2.51,2.51,2.51,0,0.00%,,36990,5
2010-04-06,0,2.6,2.6,2.6,0,0.00%,,213819,1
2010-04-08,0,2.62,2.62,2.6,0,0.00%,,3125724,3
2010-04-12,0,2.55,2.55,2.55,0,0.00%,,255000,1
2010-04-13,0,2.5,2.5,2.5,0,0.00%,,803620,4
2010-04-15,0,2.5,2.5,2.17,0,0.00%,,8326685,19
2010-04-18,0,2.17,2.25,2.17,0,0.00%,,3749206,7
2010-04-19,0,2.17,2.17,2.16,0,0.00%,,9104000,8
2010-04-20,0,2.2,2.31,2.2,0,0.00%,,8569313,26
2010-04-21,0,2.25,2.25,2.2,0,0.00%,,18031000,9
2010-04-22,0,2.25,2.35,2.25,0,0.00%,,7386100,17
2010-04-26,0,2.2,2.2,2.2,0,0.00%,,1100000,2
2010-04-27,0,2.16,2.16,2.15,0,0.00%,,3662000,4
2010-04-28,0,2.17,2.17,2.15,0,0.00%,,4969000,3
2010-04-29,0,2.15,2.15,2.15,0,0.00%,,322500,1
2010-05-03,0,2.15,2.17,2.15,0,0.00%,,4233938,3
2010-05-04,0,2.15,2.16,2.15,0,0.00%,,11875000,3
2010-05-05,0,2.12,2.12,2,0,0.00%,,1836500,5
2010-05-06,0,2,2,2,0,0.00%,,500000,1
2010-05-09,0,2,2.01,2,0,0.00%,,5137029,5
2010-05-11,0,2.14,2.14,2.14,0,0.00%,,2525200,4
2010-05-12,0,2.08,2.12,2.08,0,0.00%,,5526174,5
2010-05-16,0,2.14,2.14,2.14,0,0.00%,,1070000,1
2010-05-17,0,2.1,2.1,2.1,0,0.00%,,424200,1
2010-05-20,0,2.15,2.2,2.13,0,0.00%,,2896750,4
2010-05-23,0,2.15,2.15,2.05,0,0.00%,,1798500,5
2010-05-25,0,2.06,2.06,2,0,0.00%,,6851000,7
2010-05-27,0,2.14,2.14,2.11,0,0.00%,,6391938,5
2010-05-30,0,2.11,2.11,2.1,0,0.00%,,11411642,7
2010-05-31,0,2.1,2.1,2.09,0,0.00%,,8777599,5
2010-06-01,0,2.1,2.1,2.1,0,0.00%,,2302631,1
2010-06-02,0,2.07,2.07,2.05,0,0.00%,,4637500,4
2010-06-07,0,2.05,2.05,2.05,0,0.00%,,384375,1
2010-06-08,0,2.05,2.12,2.05,0,0.00%,,4497750,7
2010-06-09,0,2.15,2.15,2.15,0,0.00%,,2409787,11
2010-06-10,0,2.11,2.11,2.1,0,0.00%,,11734735,11
2010-06-15,0,2.05,2.09,2.05,0,0.00%,,3176445,5
2010-06-21,0,2.03,2.03,2,0,0.00%,,3956371,6
2010-06-23,0,2.02,2.02,2.02,0,0.00%,,171700,1
2010-06-27,0,1.99,1.99,1.98,0,0.00%,,1686500,2
