Ticker,Buy Date,Sell Date,Buy Price,Sell Price,Profit,Profit Percent,Gain Factor,Trade Status,Buy Price Commission,Sell Price Commission,Profit Commission,Profit Percent Commission,Gain Factor Commission
BNOI,2023-05-22,2023-06-22 00:00:00,1.22,1.24,0.020000000000000018,1.6393442622950833,1.0163934426229508,Closed,1.220732,1.239256,0.018523999999999985,1.5174501856263278,1.0151745018562632
IBSD,2023-05-31,2023-06-13 00:00:00,2.85,3.19,0.33999999999999986,11.929824561403503,1.119298245614035,Closed,2.85171,3.1880859999999998,0.33637599999999956,11.795589313078803,1.117955893130788
TASC,2023-06-07,2023-07-31 00:00:00,7.43,7.7,0.27000000000000046,3.6339165545087546,1.0363391655450875,Closed,7.434457999999999,7.69538,0.26092200000000076,3.5096304263202613,1.0350963042632026
BBOB,2023-08-02,2023-08-06 00:00:00,2.18,2.46,0.2799999999999998,12.844036697247695,1.128440366972477,Closed,2.181308,2.458524,0.27721600000000013,12.708705052198043,1.1270870505219805
IBSD,2023-08-10,2023-09-12 00:00:00,3.05,3.26,0.20999999999999996,6.885245901639343,1.0688524590163935,Closed,3.05183,3.258044,0.20621400000000012,6.757060517787693,1.0675706051778768
TASC,2023-10-25,2023-12-04 00:00:00,8.5,9.0,0.5,5.88235294117647,1.0588235294117647,Closed,8.5051,8.9946,0.4894999999999996,5.755370307227423,1.0575537030722741
IBSD,2023-10-30,2024-01-18 00:00:00,3.34,3.77,0.43000000000000016,12.874251497005993,1.1287425149700598,Closed,3.3420039999999998,3.767738,0.4257340000000003,12.738883615938231,1.1273888361593822
BNOI,2023-11-30,2024-01-14 00:00:00,2.39,2.7,0.31000000000000005,12.97071129707113,1.1297071129707112,Closed,2.3914340000000003,2.6983800000000002,0.30694599999999994,12.83522773365269,1.1283522773365269
TASC,2023-12-25,2024-01-08 00:00:00,8.55,9.2,0.6499999999999986,7.602339181286533,1.0760233918128652,Closed,8.55513,9.194479999999999,0.6393499999999985,7.473293801496863,1.0747329380149686
BBOB,2024-01-10,2024-01-31 00:00:00,3.16,3.47,0.31000000000000005,9.810126582278482,1.0981012658227849,Closed,3.161896,3.467918,0.306022,9.678433446261357,1.0967843344626136
TASC,2024-03-07,2024-04-21 00:00:00,9.31,9.83,0.5199999999999996,5.58539205155746,1.0558539205155746,Closed,9.315586,9.824102,0.5085160000000002,5.458765556992337,1.0545876555699234
BBOB,2024-03-26,2024-04-16 00:00:00,3.2,3.65,0.44999999999999973,14.062499999999991,1.140625,Closed,3.2019200000000003,3.6478099999999998,0.44588999999999945,13.925707075754529,1.1392570707575453
BNOI,2024-04-14,Open Trade - Last Close Price Used,2.79,3.0,0.20999999999999996,7.526881720430106,1.075268817204301,Open,2.791674,2.9982,0.2065260000000002,7.39792683529668,1.0739792683529668
