Date,Close,Open,High,Low,Change,Change%,T.Shares,Volume,No. Trades
2010-01-05,0,7.65,7.71,7.65,0,0.00%,,54143469,
2010-01-07,0,7.6,7.66,7.5,0,0.00%,,75305067,
2010-01-10,0,7.26,7.3,7.26,0,0.00%,,6270869,
2010-01-11,0,7.1,7.49,7.1,0,0.00%,,6920898,
2010-01-13,0,7.49,7.49,7.15,0,0.00%,,59465225,
2010-01-14,0,7.12,7.2,7,0,0.00%,,57984330,
2010-01-17,0,7.17,7.35,7.16,0,0.00%,,24536427,
2010-01-18,0,7.35,7.6,7.35,0,0.00%,,15801996,
2010-01-19,0,7.4,7.5,7.4,0,0.00%,,20771094,
2010-01-20,0,7.45,7.8,7.42,0,0.00%,,55923160,
2010-01-21,0,7.43,7.43,7.4,0,0.00%,,20392000,
2010-01-24,0,7.31,7.31,7.1,0,0.00%,,24757380,
2010-01-25,0,7.1,7.27,7.1,0,0.00%,,12985100,
2010-01-26,0,7.39,7.39,7.1,0,0.00%,,11076820,
2010-01-27,0,7,7.25,7,0,0.00%,,14269355,
2010-01-28,0,7.27,7.3,7.15,0,0.00%,,42591856,
2010-01-31,0,7.18,7.4,7.18,0,0.00%,,62008757,
2010-02-01,0,7.2,7.38,7.2,0,0.00%,,59858095,
2010-02-02,0,7.3,7.42,7.3,0,0.00%,,30084653,
2010-02-03,0,7.45,7.5,7.4,0,0.00%,,39548000,
2010-02-04,0,7.4,7.4,7.27,0,0.00%,,2754250,
2010-02-07,0,7.5,7.5,7.5,0,0.00%,,1125000,
2010-02-08,0,7.45,7.45,7.4,0,0.00%,,24546244,
2010-02-09,0,7.4,7.41,7.36,0,0.00%,,32065622,
2010-02-10,0,7.36,7.36,7.3,0,0.00%,,52554600,
2010-02-11,0,7.4,7.42,7.3,0,0.00%,,2018186,
2010-02-15,0,7.29,7.3,7.2,0,0.00%,,9580533,
2010-02-16,0,7.2,7.27,7.2,0,0.00%,,19253257,
2010-02-17,0,7.25,7.27,7.16,0,0.00%,,22143975,
2010-02-18,0,7.16,7.18,7.13,0,0.00%,,75882502,
2010-02-21,0,7.13,7.15,7.13,0,0.00%,,16133372,
2010-02-22,0,7.15,7.15,7.15,0,0.00%,,1425603,
2010-02-23,0,7.2,7.2,7.2,0,0.00%,,4544611,
2010-02-24,0,7.2,7.2,7.15,0,0.00%,,9188350,
2010-02-25,0,7.2,7.2,7.15,0,0.00%,,4665000,
2010-02-28,0,7.15,7.17,7.15,0,0.00%,,20779452,
2010-03-01,0,7.16,7.18,7.16,0,0.00%,,10641440,
2010-03-02,0,7.16,7.16,7.16,0,0.00%,,24344000,
2010-03-03,0,7.2,7.25,7.2,0,0.00%,,26335165,
2010-03-09,0,7.12,7.35,7.12,0,0.00%,,4657500,
2010-03-10,0,7.35,7.35,7.25,0,0.00%,,6181500,
2010-03-11,0,7.21,7.29,7.21,0,0.00%,,4334000,
2010-03-14,0,7.2,7.2,7.2,0,0.00%,,15408000,
2010-03-15,0,7.18,7.2,7.15,0,0.00%,,15420060,
2010-03-16,0,7.19,7.2,7.19,0,0.00%,,3239095,
2010-03-17,0,7.19,7.19,7.15,0,0.00%,,5083310,
2010-03-18,0,7.15,7.15,7.1,0,0.00%,,13511146,
2010-03-22,0,7.11,7.11,7.1,0,0.00%,,7811000,
2010-03-23,0,7.12,7.12,7.05,0,0.00%,,6222892,
2010-03-24,0,7,7,7,0,0.00%,,23450000,
2010-03-25,0,7,7.05,7,0,0.00%,,44817227,
2010-03-28,0,7.1,7.1,7.1,0,0.00%,,3550000,
2010-03-29,0,7.05,7.05,7.05,0,0.00%,,10699644,
2010-03-30,0,7,7,7,0,0.00%,,5390000,
2010-03-31,0,6.95,6.95,6.95,0,0.00%,,5038750,
2010-04-01,0,7,7,7,0,0.00%,,28490245,
2010-04-04,0,7,7,7,0,0.00%,,700000,
2010-04-05,0,7,7,6.99,0,0.00%,,9096000,
2010-04-06,0,7,7,6.99,0,0.00%,,8129311,
2010-04-07,0,6.99,6.99,6.99,0,0.00%,,2796000,
2010-04-08,0,7,7,6.93,0,0.00%,,18204149,
2010-04-11,0,6.9,6.95,6.9,0,0.00%,,12327387,
2010-04-12,0,6.85,6.87,6.85,0,0.00%,,5933873,
2010-04-13,0,6.66,6.66,6.65,0,0.00%,,4167201,
2010-04-14,0,6.8,6.8,6.8,0,0.00%,,680000,
2010-04-15,0,6.8,6.8,6.7,0,0.00%,,13300000,
2010-04-18,0,6.71,6.71,6.5,0,0.00%,,17730070,
2010-04-19,0,6.95,6.95,6.95,0,0.00%,,695000,
2010-04-20,0,6.9,6.9,6.8,0,0.00%,,6176136,
2010-04-22,0,6.82,6.85,6.8,0,0.00%,,8453200,
2010-04-25,0,6.8,6.8,6.75,0,0.00%,,1688750,
2010-04-26,0,6.8,6.85,6.8,0,0.00%,,1814269,
2010-04-27,0,6.85,6.85,6.8,0,0.00%,,9974269,
2010-04-28,0,6.75,6.8,6.75,0,0.00%,,2365000,
2010-04-29,0,6.75,6.75,6.65,0,0.00%,,5064080,
2010-05-02,0,6.7,6.8,6.7,0,0.00%,,3780500,
2010-05-03,0,6.75,6.75,6.75,0,0.00%,,675000,
2010-05-05,0,6.65,6.68,6.65,0,0.00%,,25071512,
2010-05-06,0,6.65,6.65,6.6,0,0.00%,,7265000,
2010-05-09,0,6.6,6.65,6.55,0,0.00%,,5417000,
2010-05-10,0,6.65,6.65,6.6,0,0.00%,,4202750,
2010-05-11,0,6.8,6.85,6.8,0,0.00%,,1710000,
2010-05-13,0,6.9,6.9,6.9,0,0.00%,,1380000,
2010-05-16,0,6.8,6.9,6.8,0,0.00%,,9609000,
2010-05-17,0,6.8,6.8,6.7,0,0.00%,,2915500,
2010-05-18,0,6.8,6.8,6.8,0,0.00%,,272000,
2010-05-19,0,6.75,6.75,6.7,0,0.00%,,15615306,
2010-05-20,0,6.75,6.75,6.65,0,0.00%,,3813000,
2010-05-24,0,6.55,6.55,6.52,0,0.00%,,3641160,
2010-05-25,0,6.5,6.5,6.2,0,0.00%,,25470109,
2010-05-26,0,6.45,6.45,6.45,0,0.00%,,3934500,
2010-05-27,0,6.55,6.55,6.4,0,0.00%,,2208000,
2010-05-30,0,6.45,6.5,6,0,0.00%,,27615070,
2010-05-31,0,6,6,5.9,0,0.00%,,8620000,
2010-06-02,0,6,6.2,6,0,0.00%,,28380358,
2010-06-03,0,6,6.01,6,0,0.00%,,13351500,
