Date,Close,Open,High,Low,Change,Change%,T.Shares,Volume,No. Trades
2010-01-05,0,31.6,33,31.6,0,0.00%,,19707024,
2010-01-07,0,33,33,33,0,0.00%,,1523049,
2010-01-10,0,32,32,31.5,0,0.00%,,8329076,
2010-01-11,0,32,32.35,31.5,0,0.00%,,9585000,
2010-01-13,0,31.4,31.5,31.4,0,0.00%,,6133000,
2010-01-14,0,32.1,32.5,32.1,0,0.00%,,12415000,
2010-01-18,0,33,34.5,33,0,0.00%,,16585000,
2010-01-19,0,32.5,33,32.5,0,0.00%,,36330000,
2010-01-20,0,33,33.1,33,0,0.00%,,12157680,
2010-01-24,0,32.85,32.85,32.35,0,0.00%,,42455000,
2010-01-28,0,32.25,32.55,31.26,0,0.00%,,30209500,
2010-01-31,0,32.4,32.4,32.4,0,0.00%,,3240000,
2010-02-01,0,32,32,32,0,0.00%,,6400000,
2010-02-03,0,32,32,32,0,0.00%,,800000,
2010-02-04,0,32.65,32.65,32.65,0,0.00%,,3265000,
2010-02-07,0,32.5,32.5,32.5,0,0.00%,,650000,
2010-02-08,0,31.75,32,31.75,0,0.00%,,5593750,
2010-02-09,0,32,32,32,0,0.00%,,1674048,
2010-02-11,0,31.5,31.5,31,0,0.00%,,35109500,
2010-02-15,0,30.9,31,30.9,0,0.00%,,6415064,
2010-02-17,0,31,31,31,0,0.00%,,31000000,
2010-02-18,0,31,31,31,0,0.00%,,3100000,
2010-02-21,0,31,31,31,0,0.00%,,775000,
2010-02-22,0,31,31,30.75,0,0.00%,,11579750,
2010-02-23,0,30.75,30.75,30.5,0,0.00%,,5012150,
2010-02-24,0,31.05,31.05,31,0,0.00%,,30882500,
2010-02-25,0,31,31,31,0,0.00%,,1550000,
2010-02-28,0,30.5,30.5,30.5,0,0.00%,,4880000,
2010-03-02,0,31.25,32.5,31.25,0,0.00%,,21431200,
2010-03-03,0,32.8,33,32,0,0.00%,,29094404,
2010-03-09,0,32.8,32.9,32.75,0,0.00%,,15769500,
2010-03-10,0,33,33.5,33,0,0.00%,,26478350,
2010-03-11,0,33,33.5,33,0,0.00%,,17997000,
2010-03-14,0,34,34,33.75,0,0.00%,,23909900,
2010-03-15,0,33,33,33,0,0.00%,,1650000,
2010-03-16,0,32.75,32.75,32.75,0,0.00%,,1637500,
2010-03-17,0,32.25,33,32.25,0,0.00%,,6614918490,
2010-03-18,0,33.25,33.25,33.25,0,0.00%,,1296750,
